observer,set,rep,pack_rep,card_name,rarity,card_type,creature_type,power,toughness,n_colors,color,CMC,finish,n_keywords,keywords,n,price
mz,Zendikar Rising,3,26,Akoum Hellhound,Common,Creature,Elemental Dog,0,1,1,Red,1,Regular,1,Landfall,1,0.15
mz,Zendikar Rising,3,34,Akoum Hellhound,Common,Creature,Elemental Dog,0,1,1,Red,1,Regular,1,Landfall,1,0.15
mz,Zendikar Rising,3,36,Akoum Hellhound,Common,Creature,Elemental Dog,0,1,1,Red,1,Showcase,1,Landfall,1,0.25
mz,Zendikar Rising,4,6,Akoum Hellhound,Common,Creature,Elemental Dog,0,1,1,Red,1,Regular,1,Landfall,1,0.15
mz,Zendikar Rising,4,10,Akoum Hellhound,Common,Creature,Elemental Dog,0,1,1,Red,1,Showcase,1,Landfall,1,0.25
mz,Zendikar Rising,4,14,Akoum Hellhound,Common,Creature,Elemental Dog,0,1,1,Red,1,Regular,1,Landfall,1,0.15
mz,Zendikar Rising,5,1,Akoum Hellhound,Common,Creature,Elemental Dog,0,1,1,Red,1,Regular,1,Landfall,1,0.15
mz,Zendikar Rising,5,18,Akoum Hellhound,Common,Creature,Elemental Dog,0,1,1,Red,1,Regular,1,Landfall,1,0.15
mz,Zendikar Rising,5,29,Akoum Hellhound,Common,Creature,Elemental Dog,0,1,1,Red,1,Showcase,1,Landfall,1,0.25
mz,Zendikar Rising,1,36,Akoum Warrior // Akoum Teeth,Uncommon,Creature,Minotaur Warrior,4,5,1,Red,6,Regular,1,Trample,1,0.25
mz,Zendikar Rising,2,10,Akoum Warrior // Akoum Teeth,Uncommon,Creature,Minotaur Warrior,4,5,1,Red,6,Regular,1,Trample,1,0.25
mz,Zendikar Rising,3,19,Akoum Warrior // Akoum Teeth,Uncommon,Creature,Minotaur Warrior,4,5,1,Red,6,Regular,1,Trample,1,0.25
mz,Zendikar Rising,3,30,Akoum Warrior // Akoum Teeth,Uncommon,Creature,Minotaur Warrior,4,5,1,Red,6,Regular,1,Trample,1,0.25
mz,Zendikar Rising,4,24,Akoum Warrior // Akoum Teeth,Uncommon,Creature,Minotaur Warrior,4,5,1,Red,6,Regular,1,Trample,1,0.25
mz,Zendikar Rising,5,1,Akoum Warrior // Akoum Teeth,Uncommon,Creature,Minotaur Warrior,4,5,1,Red,6,Regular,1,Trample,1,0.25
mz,Core 2021,1,16,Alchemist's Gift,Common,Instant,,,,1,Black,1,Regular,0,,1,0.15
mz,Core 2021,1,18,Alchemist's Gift,Common,Instant,,,,1,Black,1,Regular,0,,1,0.15
mz,Core 2021,1,31,Alchemist's Gift,Common,Instant,,,,1,Black,1,Regular,0,,1,0.15
mz,Core 2021,2,4,Alchemist's Gift,Common,Instant,,,,1,Black,1,Regular,0,,1,0.15
mz,Core 2021,2,28,Alchemist's Gift,Common,Instant,,,,1,Black,1,Regular,0,,1,0.15
mz,Core 2021,2,29,Alchemist's Gift,Common,Instant,,,,1,Black,1,Regular,0,,1,0.15
mz,Core 2021,3,3,Alchemist's Gift,Common,Instant,,,,1,Black,1,Regular,0,,1,0.15
mz,Core 2021,3,5,Alchemist's Gift,Common,Instant,,,,1,Black,1,Regular,0,,1,0.15
mz,Core 2021,3,8,Alchemist's Gift,Common,Instant,,,,1,Black,1,Regular,0,,1,0.15
mz,Core 2021,3,21,Alchemist's Gift,Common,Instant,,,,1,Black,1,Regular,0,,1,0.15
mz,Core 2021,4,16,Alchemist's Gift,Common,Instant,,,,1,Black,1,Regular,0,,1,0.15
mz,Core 2021,4,26,Alchemist's Gift,Common,Instant,,,,1,Black,1,Regular,0,,1,0.15
mz,Core 2021,4,36,Alchemist's Gift,Common,Instant,,,,1,Black,1,Regular,0,,1,0.15
mz,Core 2021,5,12,Alchemist's Gift,Common,Instant,,,,1,Black,1,Regular,0,,1,0.15
mz,Core 2021,5,31,Alchemist's Gift,Common,Instant,,,,1,Black,1,Regular,0,,1,0.15
mz,Ikoria: Lair of Behemoths,1,8,Alert Heedbonder,Uncommon,Creature,Human Soldier,2,4,2,"Green, White",3,Regular,1,Vigilance,1,0.5
mz,Ikoria: Lair of Behemoths,3,30,Alert Heedbonder,Uncommon,Creature,Human Soldier,2,4,2,"Green, White",3,Regular,1,Vigilance,1,0.5
mz,Ikoria: Lair of Behemoths,3,33,Alert Heedbonder,Uncommon,Creature,Human Soldier,2,4,2,"Green, White",3,Regular,1,Vigilance,1,0.5
mz,Zendikar Rising,1,9,Allied Assault,Uncommon,Instant,,,,1,White,3,Regular,0,,1,0.25
mz,Zendikar Rising,1,25,Allied Assault,Uncommon,Instant,,,,1,White,3,Regular,0,,1,0.25
mz,Zendikar Rising,2,3,Allied Assault,Uncommon,Instant,,,,1,White,3,Regular,0,,1,0.25
mz,Zendikar Rising,3,5,Allied Assault,Uncommon,Instant,,,,1,White,3,Regular,0,,1,0.25
mz,Zendikar Rising,4,26,Allied Assault,Uncommon,Instant,,,,1,White,3,Regular,0,,1,0.25
mz,Zendikar Rising,5,34,Allied Assault,Uncommon,Instant,,,,1,White,3,Regular,0,,1,0.25
mz,Ikoria: Lair of Behemoths,1,13,Almighty Brushwagg,Common,Creature,Brushwagg,1,1,1,Green,1,Regular,1,Trample,1,0.15
mz,Ikoria: Lair of Behemoths,1,16,Almighty Brushwagg,Common,Creature,Brushwagg,1,1,1,Green,1,Regular,1,Trample,1,0.15
mz,Ikoria: Lair of Behemoths,1,20,Almighty Brushwagg,Common,Creature,Brushwagg,1,1,1,Green,1,Regular,1,Trample,1,0.15
mz,Ikoria: Lair of Behemoths,1,31,Almighty Brushwagg,Common,Creature,Brushwagg,1,1,1,Green,1,Regular,1,Trample,1,0.15
mz,Ikoria: Lair of Behemoths,2,17,Almighty Brushwagg,Common,Creature,Brushwagg,1,1,1,Green,1,Regular,1,Trample,1,0.15
mz,Ikoria: Lair of Behemoths,2,29,Almighty Brushwagg,Common,Creature,Brushwagg,1,1,1,Green,1,Regular,1,Trample,1,0.15
mz,Ikoria: Lair of Behemoths,2,34,Almighty Brushwagg,Common,Creature,Brushwagg,1,1,1,Green,1,Regular,1,Trample,1,0.15
mz,Ikoria: Lair of Behemoths,3,4,Almighty Brushwagg,Common,Creature,Brushwagg,1,1,1,Green,1,Regular,1,Trample,1,0.15
mz,Ikoria: Lair of Behemoths,3,11,Almighty Brushwagg,Common,Creature,Brushwagg,1,1,1,Green,1,Regular,1,Trample,1,0.15
mz,Ikoria: Lair of Behemoths,3,15,Almighty Brushwagg,Common,Creature,Brushwagg,1,1,1,Green,1,Regular,1,Trample,1,0.15
mz,Ikoria: Lair of Behemoths,3,25,Almighty Brushwagg,Common,Creature,Brushwagg,1,1,1,Green,1,Regular,1,Trample,1,0.15
mz,Ikoria: Lair of Behemoths,4,15,Almighty Brushwagg,Common,Creature,Brushwagg,1,1,1,Green,1,Regular,1,Trample,1,0.15
mz,Ikoria: Lair of Behemoths,4,34,Almighty Brushwagg,Common,Creature,Brushwagg,1,1,1,Green,1,Regular,1,Trample,1,0.15
mz,Ikoria: Lair of Behemoths,5,4,Almighty Brushwagg,Common,Creature,Brushwagg,1,1,1,Green,1,Regular,1,Trample,1,0.15
mz,Ikoria: Lair of Behemoths,5,16,Almighty Brushwagg,Common,Creature,Brushwagg,1,1,1,Green,1,Regular,1,Trample,1,0.15
mz,Ikoria: Lair of Behemoths,5,34,Almighty Brushwagg,Common,Creature,Brushwagg,1,1,1,Green,1,Regular,1,Trample,1,0.15
mz,Core 2021,1,25,Alpine Houndmaster,Uncommon,Creature,Human Warrior,2,2,2,"Red, White",2,Regular,0,,1,0.25
mz,Core 2021,2,25,Alpine Houndmaster,Uncommon,Creature,Human Warrior,2,2,2,"Red, White",2,Regular,0,,1,0.25
mz,Core 2021,3,1,Alpine Houndmaster,Uncommon,Creature,Human Warrior,2,2,2,"Red, White",2,Foil,0,,1,0.5
mz,Core 2021,3,14,Alpine Houndmaster,Uncommon,Creature,Human Warrior,2,2,2,"Red, White",2,Regular,0,,1,0.25
mz,Core 2021,3,28,Alpine Houndmaster,Uncommon,Creature,Human Warrior,2,2,2,"Red, White",2,Regular,0,,1,0.25
mz,Core 2021,4,12,Alpine Houndmaster,Uncommon,Creature,Human Warrior,2,2,2,"Red, White",2,Foil,0,,1,0.5
mz,Core 2021,5,17,Alpine Houndmaster,Uncommon,Creature,Human Warrior,2,2,2,"Red, White",2,Regular,0,,1,0.25
mz,Core 2021,1,5,Alpine Watchdog,Common,Creature,Dog,2,2,1,White,2,Regular,1,Vigilance,1,0.15
mz,Core 2021,1,10,Alpine Watchdog,Common,Creature,Dog,2,2,1,White,2,Regular,1,Vigilance,1,0.15
mz,Core 2021,1,15,Alpine Watchdog,Common,Creature,Dog,2,2,1,White,2,Regular,1,Vigilance,1,0.15
mz,Core 2021,1,32,Alpine Watchdog,Common,Creature,Dog,2,2,1,White,2,Regular,1,Vigilance,1,0.15
mz,Core 2021,1,34,Alpine Watchdog,Common,Creature,Dog,2,2,1,White,2,Regular,1,Vigilance,1,0.15
mz,Core 2021,2,24,Alpine Watchdog,Common,Creature,Dog,2,2,1,White,2,Regular,1,Vigilance,1,0.15
mz,Core 2021,2,29,Alpine Watchdog,Common,Creature,Dog,2,2,1,White,2,Regular,1,Vigilance,1,0.15
mz,Core 2021,2,31,Alpine Watchdog,Common,Creature,Dog,2,2,1,White,2,Regular,1,Vigilance,1,0.15
mz,Core 2021,3,22,Alpine Watchdog,Common,Creature,Dog,2,2,1,White,2,Regular,1,Vigilance,1,0.15
mz,Core 2021,3,23,Alpine Watchdog,Common,Creature,Dog,2,2,1,White,2,Regular,1,Vigilance,1,0.15
mz,Core 2021,3,29,Alpine Watchdog,Common,Creature,Dog,2,2,1,White,2,Regular,1,Vigilance,1,0.15
mz,Core 2021,4,3,Alpine Watchdog,Common,Creature,Dog,2,2,1,White,2,Regular,1,Vigilance,1,0.15
mz,Core 2021,4,5,Alpine Watchdog,Common,Creature,Dog,2,2,1,White,2,Regular,1,Vigilance,1,0.15
mz,Core 2021,4,19,Alpine Watchdog,Common,Creature,Dog,2,2,1,White,2,Regular,1,Vigilance,1,0.15
mz,Core 2021,4,29,Alpine Watchdog,Common,Creature,Dog,2,2,1,White,2,Regular,1,Vigilance,1,0.15
mz,Core 2021,5,5,Alpine Watchdog,Common,Creature,Dog,2,2,1,White,2,Regular,1,Vigilance,1,0.15
mz,Core 2021,5,12,Alpine Watchdog,Common,Creature,Dog,2,2,1,White,2,Regular,1,Vigilance,1,0.15
mz,Core 2021,5,22,Alpine Watchdog,Common,Creature,Dog,2,2,1,White,2,Regular,1,Vigilance,1,0.15
mz,Zendikar Rising,4,10,Ancient Greenwarden,Mythic,Creature,Elemental,5,7,1,Green,6,Regular,1,Reach,1,25
mz,Zendikar Rising,5,35,Angel of Destiny,Mythic,Creature,Angel Cleric,2,6,1,White,5,Regular,2,"Flying, Double Strike",1,8
mz,Zendikar Rising,1,7,Angelheart Protector,Common,Creature,Human Cleric,3,2,1,White,3,Regular,0,,1,0.15
mz,Zendikar Rising,1,26,Angelheart Protector,Common,Creature,Human Cleric,3,2,1,White,3,Regular,0,,1,0.15
mz,Zendikar Rising,1,27,Angelheart Protector,Common,Creature,Human Cleric,3,2,1,White,3,Regular,0,,1,0.15
mz,Zendikar Rising,2,4,Angelheart Protector,Common,Creature,Human Cleric,3,2,1,White,3,Regular,0,,1,0.15
mz,Zendikar Rising,2,6,Angelheart Protector,Common,Creature,Human Cleric,3,2,1,White,3,Regular,0,,1,0.15
mz,Zendikar Rising,2,20,Angelheart Protector,Common,Creature,Human Cleric,3,2,1,White,3,Regular,0,,1,0.15
mz,Zendikar Rising,3,21,Angelheart Protector,Common,Creature,Human Cleric,3,2,1,White,3,Regular,0,,1,0.15
mz,Zendikar Rising,3,25,Angelheart Protector,Common,Creature,Human Cleric,3,2,1,White,3,Regular,0,,1,0.15
mz,Zendikar Rising,1,27,Angelheart Protector,Common,Creature,Human Cleric,3,2,1,White,3,Regular,0,,1,0.15
mz,Zendikar Rising,3,31,Angelheart Protector,Common,Creature,Human Cleric,3,2,1,White,3,Regular,0,,1,0.15
mz,Zendikar Rising,4,2,Angelheart Protector,Common,Creature,Human Cleric,3,2,1,White,3,Regular,0,,1,0.15
mz,Zendikar Rising,4,3,Angelheart Protector,Common,Creature,Human Cleric,3,2,1,White,3,Regular,0,,1,0.15
mz,Zendikar Rising,4,13,Angelheart Protector,Common,Creature,Human Cleric,3,2,1,White,3,Foil,0,,1,0.25
mz,Zendikar Rising,4,35,Angelheart Protector,Common,Creature,Human Cleric,3,2,1,White,3,Regular,0,,1,0.15
mz,Zendikar Rising,5,1,Angelheart Protector,Common,Creature,Human Cleric,3,2,1,White,3,Regular,0,,1,0.15
mz,Zendikar Rising,5,12,Angelheart Protector,Common,Creature,Human Cleric,3,2,1,White,3,Regular,0,,1,0.15
mz,Zendikar Rising,5,31,Angelheart Protector,Common,Creature,Human Cleric,3,2,1,White,3,Regular,0,,1,0.15
mz,Core 2021,1,33,Angelic Ascension,Uncommon,Instant,,,,1,White,2,Regular,0,,1,0.25
mz,Core 2021,2,7,Angelic Ascension,Uncommon,Instant,,,,1,White,2,Regular,0,,1,0.25
mz,Core 2021,3,29,Angelic Ascension,Uncommon,Instant,,,,1,White,2,Regular,0,,1,0.25
mz,Core 2021,3,33,Angelic Ascension,Uncommon,Instant,,,,1,White,2,Regular,0,,1,0.25
mz,Core 2021,4,13,Angelic Ascension,Uncommon,Instant,,,,1,White,2,Regular,0,,1,0.25
mz,Core 2021,5,19,Angelic Ascension,Uncommon,Instant,,,,1,White,2,Regular,0,,1,0.25
mz,Core 2021,1,12,Animal Sanctuary,Rare,Land,,,,0,Colorless,0,Regular,0,,1,0.75
mz,Core 2021,1,22,Animal Sanctuary,Rare,Land,,,,0,Colorless,0,Regular,0,,1,0.75
mz,Core 2021,3,6,Animal Sanctuary,Rare,Land,,,,0,Colorless,0,Regular,0,,1,0.75
mz,Core 2021,5,19,Animal Sanctuary,Rare,Land,,,,0,Colorless,0,Regular,0,,1,0.75
mz,Core 2021,1,24,Anointed Chorister,Common,Creature,Human Cleric,1,1,1,White,1,Regular,1,Lifelink,1,0.15
mz,Core 2021,1,26,Anointed Chorister,Common,Creature,Human Cleric,1,1,1,White,1,Regular,1,Lifelink,1,0.15
mz,Core 2021,1,34,Anointed Chorister,Common,Creature,Human Cleric,1,1,1,White,1,Regular,1,Lifelink,1,0.15
mz,Core 2021,2,3,Anointed Chorister,Common,Creature,Human Cleric,1,1,1,White,1,Regular,1,Lifelink,1,0.15
mz,Core 2021,2,11,Anointed Chorister,Common,Creature,Human Cleric,1,1,1,White,1,Regular,1,Lifelink,1,0.15
mz,Core 2021,2,23,Anointed Chorister,Common,Creature,Human Cleric,1,1,1,White,1,Regular,1,Lifelink,1,0.15
mz,Core 2021,3,10,Anointed Chorister,Common,Creature,Human Cleric,1,1,1,White,1,Regular,1,Lifelink,1,0.15
mz,Core 2021,3,13,Anointed Chorister,Common,Creature,Human Cleric,1,1,1,White,1,Regular,1,Lifelink,1,0.15
mz,Core 2021,4,2,Anointed Chorister,Common,Creature,Human Cleric,1,1,1,White,1,Regular,1,Lifelink,1,0.15
mz,Core 2021,4,28,Anointed Chorister,Common,Creature,Human Cleric,1,1,1,White,1,Regular,1,Lifelink,1,0.15
mz,Core 2021,4,34,Anointed Chorister,Common,Creature,Human Cleric,1,1,1,White,1,Regular,1,Lifelink,1,0.15
mz,Core 2021,5,22,Anointed Chorister,Common,Creature,Human Cleric,1,1,1,White,1,Regular,1,Lifelink,1,0.15
mz,Core 2021,5,30,Anointed Chorister,Common,Creature,Human Cleric,1,1,1,White,1,Regular,1,Lifelink,1,0.15
mz,Ikoria: Lair of Behemoths,1,17,Anticipate,Common,Instant,,,,1,Blue,2,Regular,0,,1,0.15
mz,Ikoria: Lair of Behemoths,1,26,Anticipate,Common,Instant,,,,1,Blue,2,Regular,0,,1,0.15
mz,Ikoria: Lair of Behemoths,2,3,Anticipate,Common,Instant,,,,1,Blue,2,Regular,0,,1,0.15
mz,Ikoria: Lair of Behemoths,2,10,Anticipate,Common,Instant,,,,1,Blue,2,Regular,0,,1,0.15
mz,Ikoria: Lair of Behemoths,2,13,Anticipate,Common,Instant,,,,1,Blue,2,Foil,0,,1,0.5
mz,Ikoria: Lair of Behemoths,2,22,Anticipate,Common,Instant,,,,1,Blue,2,Regular,0,,1,0.15
mz,Ikoria: Lair of Behemoths,2,35,Anticipate,Common,Instant,,,,1,Blue,2,Regular,0,,1,0.15
mz,Ikoria: Lair of Behemoths,3,1,Anticipate,Common,Instant,,,,1,Blue,2,Regular,0,,1,0.15
